,R_save
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0009995002498750624
5,0.0009985012491255621
6,0.001997003496752623
7,0.0019950074912586176
8,0.001993013480772602
9,0.0019910214633005654
10,0.00198903143685049
11,0.0019870433994323483
12,0.001985057349058103
13,0.001983073283741703
14,0.0019810912014990825
15,0.0029786113502232214
16,0.0029756342274343925
17,0.003972160330155598
18,0.003968190154913064
19,0.004963724197736739
20,0.0059582632040358526
21,0.006951808168349659
22,0.00694485983434831
23,0.006937918445208532
24,0.006930983993988934
25,0.006924056473755062
26,0.006917135877579394
27,0.006910222198541334
28,0.007902815679602262
29,0.007894916813355784
30,0.007887025842028092
31,0.007879142757728214
32,0.007871267552573063
33,0.007863400218687432
34,0.007855540748203986
35,0.008847189383138315
36,0.009837846865014238
37,0.009828013934614424
38,0.009818190832231002
39,0.009808377548040866
40,0.009798574072230731
41,0.009788780394997117
42,0.009778996506546345
43,0.010768722646969587
44,0.010757959305993105
45,0.01074720672297862
46,0.010736464887173544
47,0.010725733787836039
48,0.011714513664110065
49,0.011702805004775623
50,0.01169110804824911
51,0.011679422782833569
52,0.01166774919684373
53,0.011656087278606005
54,0.011644437016458474
55,0.012632298648625931
56,0.012619672662970134
57,0.012607059296990153
58,0.012594458538072622
59,0.012581870373616778
60,0.012569294791034453
61,0.01255673177775006
62,0.013543681571075647
63,0.01353014465796113
64,0.013516621274994652
65,0.013503111408652829
66,0.01348961504542579
67,0.013476132171817168
68,0.013462662774344087
69,0.014448707089412208
70,0.014434265603065969
71,0.014419838550988941
72,0.01540492616862913
73,0.015389528941074279
74,0.015374147103052216
75,0.0153587806391811
76,0.016342929783969524
77,0.017326095271441817
78,0.018308278084763714
79,0.01828997895624321
80,0.0192711983675813
81,0.01925193679999751
82,0.019232694484355335
83,0.01921347140141245
84,0.019194267531945773
85,0.019175082856751426
86,0.02015541760651979
87,0.02013527226158574
88,0.020115147051928982
89,0.020095041957424304
90,0.021074457207841672
91,0.021053393282596453
92,0.02103235041074978
93,0.021011328571258776
94,0.020990327743101597
95,0.020969347905277408
96,0.021947889286681427
97,0.021925952365855157
98,0.021904037370986736
99,0.02188214428016116
100,0.021860273071485338
101,0.02183842372308805
102,0.022816096462995008
103,0.022793291768879072
104,0.022770509868060604
105,0.022747750737757696
106,0.022725014355211213
107,0.023701800947559828
108,0.024677611241465315
109,0.025652446212738215
110,0.025626806586338678
111,0.02560119258675213
112,0.025575604188364572
113,0.025550041365587597
114,0.025524504092858374
115,0.025498992344639624
116,0.026473006345294658
117,0.026446546568837593
118,0.02741961348880877
119,0.027392207578275228
120,0.027364829059956113
121,0.0273374779064729
122,0.028309654340349488
123,0.029280859083637496
124,0.030251093107541906
125,0.030220857132421924
126,0.03119015162804169
127,0.031158977063695824
128,0.031127833658334807
129,0.0320962216306903
130,0.033063641699025446
131,0.034030094830760554
132,0.034995581992349006
133,0.03496060389940313
134,0.03492566076706989
135,0.03589025281028122
136,0.03585438049362927
137,0.03681804428124184
138,0.036781244636782826
139,0.03674448177357765
140,0.037707255904738494
141,0.0376695674930396
142,0.038631417000792694
143,0.039592305139722436
144,0.039552732620842156
145,0.040512699904579445
146,0.04147170770077677
147,0.0414302567185671
148,0.041388847166624505
149,0.041347479003539425
150,0.04130615218794369
151,0.04126486667851046
152,0.04122362243395423
153,0.04118241941303074
154,0.04114125757453695
155,0.04110013687731103
156,0.04205855753010733
157,0.04301602024122167
158,0.042973025718241936
159,0.04392957441817373
160,0.04488516704744093
161,0.04484030431176133
162,0.04579498666627232
163,0.04574921456565635
164,0.046702988464141455
165,0.04665630881550163
166,0.047609176073057355
167,0.048561090939551056
168,0.04851255411702277
169,0.04846406580706073
170,0.048415625961176614
171,0.04836723453093056
172,0.04931839171780619
173,0.05026859822283587
174,0.05021835474635128
175,0.050168161488233984
176,0.051117518648165786
177,0.052065926925379015
178,0.052013887018407125
179,0.051961899125335255
180,0.052909463444050564
181,0.053856080671992546
182,0.0538022515059036
183,0.05374847614207961
184,0.05369475452674519
185,0.054640586856053795
186,0.05558547382571292
187,0.05552991613073469
188,0.05647391421556155
189,0.056417468524191675
190,0.05736057950017949
191,0.05730324758663608
192,0.05824547322622965
193,0.05818725686118594
194,0.05812909868341364
195,0.05807099863475456
196,0.05801295665710863
197,0.05795497269243386
198,0.05789704668274627
199,0.05783917857011984
200,0.05778136829668644
201,0.05772361580463578
202,0.05766592103621536
203,0.05760828393373039
204,0.058550204689418815
205,0.05949118399507657
206,0.05943172254180813
207,0.05937232052027709
208,0.06031247812095648
209,0.06125169603387906
210,0.061190474948387925
211,0.06112931505338704
212,0.06206771653759156
213,0.06300518008927812
214,0.06294220639603547
215,0.06387879589489001
216,0.06481444927230642
217,0.0657491674639383
218,0.06568345115462902
219,0.06561780052878731
220,0.0665517157706376
221,0.06648519731409525
222,0.06641874534276682
223,0.0673518600400754
224,0.06728454183913579
225,0.06721729092275484
226,0.06715010722368163
227,0.06808249092460748
228,0.06901394270779129
229,0.06994446350468506
230,0.07087405424580981
231,0.07080321561088146
232,0.07073244777918643
233,0.07066175067995685
234,0.07059112424249563
235,0.07152006864605136
236,0.07144858431956855
237,0.07137717144168793
238,0.07130582994099659
239,0.07123455974615302
240,0.071163360785887
241,0.07209173323887462
242,0.0730191777833635
243,0.07294619509692336
244,0.07287328535669656
245,0.07280044848977332
246,0.07372718467319185
247,0.07465299458356348
248,0.07457837889682328
249,0.07450383778848063
250,0.0744293711839944
251,0.07435497900889795
252,0.0742806611887991
253,0.07520591789925507
254,0.07513074956552268
255,0.0760551566124337
256,0.07597913946439529
257,0.0769026985453904
258,0.07682583427897823
259,0.07674904683841953
260,0.07667233614692685
261,0.0765957021277895
262,0.07651914470437342
263,0.07644266380012117
264,0.0773657595884269
265,0.07828793274226156
266,0.07820968393392347
267,0.07813151333528887
268,0.07805342086818713
269,0.07797540645452578
270,0.07789747001629037
271,0.07881911172541951
272,0.07973983225343009
273,0.07966013227116779
274,0.07958051194905769
275,0.08050047145735448
276,0.08042001121601779
277,0.08033963139471242
278,0.0812588321629336
279,0.08217711418975726
280,0.08309447839346565
281,0.08301142544154815
282,0.08292845550107683
283,0.08384506873895682
284,0.08376126557180144
285,0.08367754616593258
286,0.08459341068750587
287,0.08450885955238592
288,0.08542389317602173
289,0.085338511973447
290,0.08525321610940557
291,0.08616750574847663
292,0.08608138130494992
293,0.08699484319270111
294,0.08690789182519217
295,0.08782052761547184
296,0.08773275097617601
297,0.0876450620696531
298,0.08755746080821417
299,0.08746994710425793
300,0.08738252087027067
301,0.08829468226870119
302,0.08920593196158605
303,0.09011627086017517
304,0.0900261996249326
305,0.08993621841591219
306,0.08984632714313268
307,0.08975652571670276
308,0.09066631429669605
309,0.09057569329290126
310,0.0904851628648224
311,0.0913942231718041
312,0.09130287462290675
