,R_save
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0009995002498750624
7,0.0009985012491255621
8,0.0009975032468775606
9,0.0009965062421330552
10,0.0009955102338950412
11,0.00099451522116751
12,0.0009935212029554485
13,0.0009925281782648383
14,0.0009915361461026546
15,0.0009905451054768649
16,0.0009895550553964281
17,0.0009885659948712943
18,0.0019870781727874647
19,0.0019850920876572425
20,0.0029826082374946666
21,0.002979627119816011
22,0.0029766489817652205
23,0.002973673820364156
24,0.002970701632637655
25,0.0029677324156135295
26,0.003964266416197624
27,0.003960304130924064
28,0.003956345805955624
29,0.003952391437333979
30,0.004947941270979823
31,0.0049429958024431115
32,0.004938055276903438
33,0.004933119689420276
34,0.004928189035058037
35,0.004923263308886065
36,0.005917842755853695
37,0.00691142812041556
38,0.007904020396157273
39,0.007896120325796296
40,0.00788822815155762
41,0.007880343865549066
42,0.007872467459886349
43,0.00786459892669306
44,0.007856738258100663
45,0.007848885446248488
46,0.008840540733158783
47,0.00883170461048696
48,0.009822377569397018
49,0.0108120603504371
50,0.011800753943290235
51,0.012788459336650264
52,0.012775677268347765
53,0.012762907975725728
54,0.012750151446014858
55,0.013736907916333684
56,0.013723177873438798
57,0.013709461553725216
58,0.013695758943476615
59,0.014681570278865444
60,0.01466689604570316
61,0.014652236479440589
62,0.014637591565418159
63,0.014622961288990955
64,0.015607845885403758
65,0.016591746089416347
66,0.017574662884929173
67,0.017557097004984215
68,0.01753954868214065
69,0.017522017898850155
70,0.01750450463758194
71,0.017487008880822736
72,0.017469530611076787
73,0.017452069810865816
74,0.01743462646272902
75,0.017417200549223043
76,0.01739979205292197
77,0.0173824009564173
78,0.01736502724231793
79,0.017347670893250147
80,0.018329832141732654
81,0.019311011719801888
82,0.019291710358762607
83,0.020271928539313568
84,0.021251166991548137
85,0.021229926444829947
86,0.02120870712804351
87,0.021187509019969505
88,0.021166332099409817
89,0.02214467659506258
90,0.023122043235147476
91,0.023098932747156325
92,0.023075845358103697
93,0.023052781044902194
94,0.02402924003436256
95,0.02400522280294391
96,0.02398122957675406
97,0.023957260331799783
98,0.02393331504411183
99,0.0239093936897449
100,0.02388549624477764
101,0.023861622685312597
102,0.0238377729874762
103,0.023813947127418755
104,0.02478964533118945
105,0.025764368324361676
106,0.025738616831783603
107,0.02671239132770386
108,0.027685192535772122
109,0.02765752117891478
110,0.027629877479585528
111,0.027602261410140664
112,0.02757467294296411
113,0.027547112050467396
114,0.02851907895496468
115,0.028490574128422985
116,0.029461598042337604
117,0.02943215116773257
118,0.02940273372528606
119,0.02937334568558063
120,0.029343987019228225
121,0.029314657696870177
122,0.029285357689177154
123,0.029256086966849143
124,0.02922684550061541
125,0.029197633261234486
126,0.029168450219494123
127,0.02913929634621127
128,0.029110171612232047
129,0.029081075988431716
130,0.029052009445714642
131,0.03002247220488934
132,0.029992464736418686
133,0.029962487260420268
134,0.0299325397469166
135,0.030902122415835225
136,0.03087123573675893
137,0.03183988017880115
138,0.03180805621060644
139,0.0317762640504759
140,0.03174450366661735
141,0.03271227527714547
142,0.03267957934983198
143,0.032646916102106016
144,0.03261428550130431
145,0.03258168751479626
146,0.03254912210998387
147,0.03351608950417679
148,0.03348259016434253
149,0.034448624556981874
150,0.03541369339800438
151,0.03537829740260408
152,0.035342936785510023
153,0.03530761151136159
154,0.03527232154483349
155,0.03523706685063576
156,0.03520184739351369
157,0.03516666313824781
158,0.03513151404965386
159,0.03509640009258274
160,0.036060821481795555
161,0.03702427893158887
162,0.0369872731555453
163,0.036950304366784134
164,0.036913372528336576
165,0.03687647760327077
166,0.03683961955469179
167,0.03780229859561664
168,0.037764515188724465
169,0.037726769546356925
170,0.037689061630768364
171,0.03865089165412592
172,0.03861226007825973
173,0.038573667114663264
174,0.039534612974618626
175,0.03949509811907178
176,0.040455123008507995
177,0.041414188352827334
178,0.04237229511109537
179,0.04232994399154406
180,0.04228763520194731
181,0.04224536869999634
182,0.043202644693299694
183,0.04315946363913348
184,0.04411582599431676
185,0.04507123246508706
186,0.04602568400685109
187,0.045979681324185576
188,0.04693322487108794
189,0.04688631510110185
190,0.046839452217442575
191,0.04679263617324723
192,0.046745866921699755
193,0.04669914441603089
194,0.04765196885939318
195,0.04860384095448624
196,0.04855526140330735
197,0.04950623065727706
198,0.0504562494172398
199,0.05040581838333951
200,0.05135493800514527
201,0.051303608731776806
202,0.0512523307620299
203,0.05120110404462658
204,0.052149428778215164
205,0.052097305411120495
206,0.05304473439121933
207,0.053991216415815814
208,0.05393725218151715
209,0.05388334188448415
210,0.0538294854708065
211,0.05377568288662778
212,0.054721434328020464
213,0.055666240490611155
214,0.05561060206933118
215,0.05655451950854225
216,0.057497493502036964
217,0.057440024742914486
218,0.057382613423831115
219,0.05732525948737551
220,0.05826746312606879
221,0.05920872503198977
222,0.06014904614640058
223,0.0600889271597475
224,0.06102836851191167
225,0.06096737064233455
226,0.06090643374014331
227,0.06184505799427611
228,0.06178324384335729
229,0.06272099172557283
230,0.06265830207867071
231,0.06259567509008633
232,0.0625331106971927
233,0.06347010908730046
234,0.0634066706974081
235,0.0633432957142023
236,0.06327998407430804
237,0.06321673571441368
238,0.06315355057127084
239,0.06309042858169436
240,0.06302736968256224
241,0.06396387406069062
242,0.06389994215258399
243,0.06483557439431055
244,0.06477077122150264
245,0.06470603281948215
246,0.06464135912351066
247,0.06557625031878951
248,0.06551070684021001
249,0.0664447291222288
250,0.06737781784874332
251,0.06731047370296746
252,0.06724319686768214
253,0.0671759872756105
254,0.06710884485954292
255,0.06804126980221205
256,0.06897276278591799
257,0.06890382449227889
258,0.06883495510248151
259,0.06976565479753151
260,0.06969592400812868
261,0.07062576316454235
262,0.07055517269661177
263,0.07048465278387153
264,0.0704142033558017
265,0.07034382434195283
266,0.07027351567194588
267,0.07020327727547218
268,0.07113260933216836
269,0.07206101252124165
270,0.07198898752122042
271,0.0719170345102047
272,0.07284465366611655
273,0.07377134566645027
274,0.07369761118802304
275,0.07362395040722541
276,0.07454986350027167
277,0.074475350893075
278,0.07540041301112291
279,0.07532505027947761
280,0.07524976287290143
281,0.076174050965982
282,0.07709741523288256
283,0.07702035634709258
284,0.07794287473155326
285,0.07786497080878309
286,0.07778714475100319
287,0.0777093964803875
288,0.07863122616906278
289,0.07955213448873388
290,0.08047212236030936
291,0.08139119070377732
292,0.08130984018833126
293,0.08122857098274572
294,0.08214688325562654
295,0.08306427767516114
296,0.08298125490886912
297,0.08289831512385276
298,0.08381495848704731
299,0.08373118541509625
300,0.08464699632422659
301,0.08456239163024935
302,0.08447787149868488
303,0.08439343584501303
304,0.08430908458479813
305,0.08422481763368889
306,0.0851401351572934
307,0.08505503757092929
308,0.08497002503962402
309,0.08588459772824009
310,0.08579875605135029
311,0.08671250042311306
312,0.08762533150714794
