,R_save
0,0.0
1,0.0009995002498750624
2,0.0009985012491255621
3,0.001997003496752623
4,0.0019950074912586176
5,0.001993013480772602
6,0.0019910214633005654
7,0.00198903143685049
8,0.0019870433994323483
9,0.0029845575989331653
10,0.002981574532867265
11,0.003978094698251705
12,0.003974118591606776
13,0.004969646708956495
14,0.004964679545829103
15,0.0049597173473824975
16,0.004954760108654479
17,0.004949807824687808
18,0.0049448604905301995
19,0.0059394183511093795
20,0.005933481900983333
21,0.006927051634215734
22,0.0079196282942515
23,0.007911712623792477
24,0.00890330511492312
25,0.009893906509111103
26,0.010883517796958068
27,0.01187213996807555
28,0.011860273761210908
29,0.011848419414622991
30,0.011836576916457451
31,0.01282424650474685
32,0.012811428667160896
33,0.012798623641006812
34,0.01278583141347957
35,0.012773051971786936
36,0.012760285303149469
37,0.012747531394800494
38,0.013734290483861163
39,0.013720563057090686
40,0.013706849350886698
41,0.013693149351535488
42,0.013679463045337053
43,0.013665790418605082
44,0.013652131457666946
45,0.01363848614886368
46,0.013624854478549973
47,0.013611236433094151
48,0.013597631998878165
49,0.013584041162297578
50,0.013570463909761549
51,0.013556900227692821
52,0.013543350102527711
53,0.01352981352071609
54,0.013516290468721371
55,0.0135027809330205
56,0.014488785149979
57,0.01447430360560121
58,0.014459836535530644
59,0.01444538392530023
60,0.01443094576045735
61,0.01441652202656384
62,0.015401612959071023
63,0.015386219043069952
64,0.01537084051329177
65,0.015355477354357945
66,0.015340129550905314
67,0.015324797087586068
68,0.016308980198942804
69,0.016292679369158753
70,0.016276394832058144
71,0.016260126571356438
72,0.016243874570785365
73,0.01722713906396799
74,0.01720992053416892
75,0.01719271921429469
76,0.017175535087143968
77,0.01715836813553263
78,0.017141218342293717
79,0.017124085690277433
80,0.017106970162351118
81,0.017089871741399244
82,0.018072290660198446
83,0.01805422740116776
84,0.018036182196368992
85,0.01801815502775693
86,0.018000145877304398
87,0.017982154727002243
88,0.017964181558859312
89,0.017946226354902433
90,0.017928289097176395
91,0.017910369767743937
92,0.018891968598560783
93,0.01887308607122589
94,0.018854222416981786
95,0.018835377616964813
96,0.01981605190220523
97,0.019796245753377437
98,0.019776459400800347
99,0.019756692824687602
100,0.01973694600527262
101,0.020716719172683643
102,0.021695513056569016
103,0.021673828385847808
104,0.022651665638835465
105,0.022629025293369364
106,0.023605907826809276
107,0.023582313716037855
108,0.024558243437461106
109,0.024533697467008873
110,0.02450917603026024
111,0.024484679102693762
112,0.02446020665981251
113,0.025435258927019092
114,0.026409336629240963
115,0.026382940490681003
116,0.02635657073506813
117,0.02633022733603258
118,0.02630391026723095
119,0.02627761950234616
120,0.027250855264962504
121,0.027223618028315865
122,0.02719640801529406
123,0.02716922519868707
124,0.028141569801187132
125,0.02811344229513897
126,0.029084843152415194
127,0.02905577284441678
128,0.029026731592198474
129,0.028997719366719014
130,0.028968736138966174
131,0.028939781879956713
132,0.029910356810611428
133,0.02988046140150537
134,0.029850595872868185
135,0.029820760194834334
136,0.029790954337568135
137,0.02976117827126372
138,0.029731431966145014
139,0.03070121564234077
140,0.030670529769634785
141,0.0316393748173413
142,0.031607751254305476
143,0.03157615929902881
144,0.0325440991697944
145,0.03251157133454223
146,0.03247907601086952
147,0.032446613166280946
