,Delta_save
0,0.15119500500000002
1,0.09424311125000001
2,0.18030613004999999
3,0.10354435244999999
4,0.20554307279999998
5,0.103831245
6,0.17850910004999998
7,0.18364830124999998
8,0.17905923245000002
9,0.17968813520000002
10,0.056811463200000016
11,0.18189496125
12,0.08578910420000001
13,0.06009697805000002
14,0.0930874952
15,0.10338968644999999
16,0.13588205805000003
17,0.14492112845000002
18,0.17358421205000002
19,0.1774054178
20,0.2124737672
21,0.08489260125
22,0.11402222580000002
23,0.1241913122
24,0.1477069952
25,0.057946292450000006
26,0.1717800498
27,0.13863798245
28,0.22491253805
29,0.20387305124999996
30,0.10781510479999999
31,0.18512395520000002
32,0.08821680079999998
33,0.16972885845
34,0.09719199605
35,0.16345474880000002
36,0.1574614962
37,0.16826380605000002
38,0.14632427044999996
39,0.20801895004999998
40,0.132767045
41,0.11914032980000001
42,0.16107920405000004
43,0.0927167922
44,0.0725728802
45,0.18442486445000003
46,0.08648224604999999
47,0.21509584604999998
48,0.07532632980000002
49,0.15161321780000003
50,0.1951125512
51,0.06917712079999998
52,0.12816984499999998
53,0.1231171442
54,0.17097212879999996
55,0.0860378162
56,0.19058520604999998
57,0.09877234580000001
58,0.17699465045
59,0.17664973604999998
60,0.08525559245000001
61,0.1185163298
62,0.13539246845
63,0.1040865938
64,0.14926555219999998
65,0.06192032405
66,0.18683161920000002
67,0.1015291922
68,0.09975704445
69,0.17553997520000003
70,0.16050644819999998
71,0.19947191219999996
72,0.17835975380000002
73,0.06452309645
74,0.1199226338
75,0.16266096845000003
76,0.11337369620000003
77,0.1156612608
78,0.08402950125000001
79,0.11721997805
80,0.14286116044999997
81,0.15219196205000002
82,0.10151567405000002
83,0.17265450845
84,0.1457892002
85,0.16017799999999996
86,0.10416417245
87,0.07767711125
88,0.12193403444999999
89,0.07361668204999999
90,0.0807055488
91,0.18940781520000002
92,0.1493420552
93,0.07072184405000001
94,0.16413585124999996
95,0.15704089245
96,0.18468003125000002
97,0.09477351845000001
98,0.08320752179999999
99,0.17772721999999996
100,0.13136400245
101,0.15365196125
102,0.11849198805000001
103,0.1125656352
104,0.112765005
105,0.1736843922
106,0.16531825005
107,0.11310243604999999
108,0.11444284819999997
109,0.10407290645000002
110,0.07807571279999999
111,0.10789406045
112,0.1128125
113,0.16814200499999998
114,0.14153860125
115,0.13685342445
116,0.1554811848
117,0.06648481125000001
118,0.08709885845000001
119,0.0920033408
120,0.1118928818
121,0.11761735005000003
122,0.15170133619999998
123,0.12105168079999999
124,0.17577113405000003
125,0.16903042245
126,0.10997581005000001
127,0.12474513005
128,0.13895937619999998
129,0.08435778125
130,0.1412673858
131,0.11729746125
132,0.15267785405
133,0.11166120245
134,0.08995585279999999
135,0.11421810125
136,0.10364449204999998
137,0.09923512500000001
138,0.09562439119999999
139,0.0
140,0.10004311804999999
141,0.14279702405000003
142,0.13981472000000003
143,0.09250590845000001
144,0.1547125938
145,0.06713180819999999
146,0.055224937800000005
147,0.14204450000000002
148,0.1127745032
149,0.09130973780000003
150,0.15786018605
151,0.056223104450000005
152,0.16555408820000003
153,0.13379447205
154,0.11952138320000001
155,0.0
156,0.15658727220000002
157,0.15169032
158,0.06594622445
159,0.1288593378
160,0.12439573205
161,0.12953541005000002
162,0.12066328124999998
163,0.14527667045
164,0.17434512500000002
165,0.16805503125
166,0.16225056124999998
167,0.12716933119999999
168,0.11072747404999998
169,0.13844848205
170,0.104561645
171,0.1235343218
172,0.09586506845
173,0.12696768320000001
174,0.11445241679999998
175,0.1358351442
176,0.16814200500000004
177,0.07803620180000001
178,0.12662021645
179,0.12121410844999998
180,0.09778368645
181,0.11236170125000002
182,0.11427546245
183,0.06954958079999998
184,0.07910253125
185,0.12984098405
186,0.12527515125000002
187,0.13445742244999997
188,0.09184898
189,0.11185977005000002
190,0.10327149045000002
191,0.1099148498
192,0.13699995124999997
193,0.0976112928
194,0.09833282045000001
195,0.09018079805000001
196,0.13180518245000003
197,0.13219567804999996
198,0.12672088245000002
