,N_moves
532,21.0
533,7.0
534,8.0
535,0.0
536,1.0
537,3.0
538,21.0
539,24.0
540,10.0
541,12.0
542,9.0
543,1.0
544,2.0
545,4.0
546,8.0
547,0.0
548,14.0
549,2.0
550,0.0
551,42.0
552,24.0
553,2.0
554,10.0
555,3.0
556,38.0
557,18.0
558,22.0
559,3.0
560,1.0
561,27.0
562,1.0
563,0.0
564,16.0
565,33.0
566,42.0
567,48.0
568,1.0
569,6.0
570,23.0
571,1.0
572,17.0
573,19.0
574,2.0
575,2.0
576,13.0
577,3.0
578,19.0
579,1.0
580,1.0
581,32.0
582,1.0
583,14.0
584,30.0
585,0.0
586,10.0
587,11.0
588,0.0
589,3.0
590,38.0
591,0.0
592,40.0
593,29.0
594,4.0
595,4.0
596,7.0
597,11.0
598,40.0
599,2.0
600,11.0
601,20.0
602,4.0
603,1.0
604,20.0
605,20.0
606,9.0
607,18.0
608,9.0
609,17.0
610,1.0
611,0.0
612,26.0
613,1.0
614,1.0
615,13.0
616,6.0
617,2.0
618,0.0
619,3.0
620,39.0
621,11.0
622,2.0
623,21.0
624,21.0
625,12.0
626,0.0
627,6.0
628,11.0
629,3.0
630,1.0
631,2.0
632,1.0
633,0.0
634,9.0
635,16.0
636,16.0
637,1.0
638,1.0
639,2.0
640,14.0
641,11.0
642,16.0
643,1.0
644,19.0
645,1.0
646,0.0
647,0.0
648,15.0
649,49.0
650,3.0
651,9.0
652,5.0
653,1.0
654,23.0
655,0.0
656,1.0
657,2.0
658,4.0
659,39.0
660,1.0
661,45.0
662,46.0
663,1.0
664,42.0
665,0.0
666,34.0
667,18.0
668,3.0
669,18.0
670,6.0
671,0.0
672,42.0
673,0.0
674,1.0
675,23.0
676,48.0
677,12.0
678,29.0
679,1.0
680,23.0
681,1.0
682,32.0
683,30.0
684,10.0
685,1.0
686,2.0
687,1.0
688,1.0
689,45.0
690,31.0
691,0.0
692,17.0
693,1.0
694,20.0
695,11.0
696,0.0
697,26.0
698,31.0
699,44.0
700,6.0
701,0.0
702,49.0
703,0.0
704,7.0
705,1.0
706,0.0
707,30.0
708,0.0
709,7.0
710,0.0
711,18.0
712,16.0
713,44.0
714,0.0
715,0.0
716,12.0
717,7.0
718,37.0
719,32.0
720,43.0
721,1.0
722,1.0
723,2.0
724,0.0
725,12.0
726,1.0
727,20.0
728,19.0
729,8.0
730,7.0
731,28.0
732,1.0
733,12.0
734,1.0
735,16.0
736,2.0
737,25.0
738,47.0
739,0.0
740,1.0
741,0.0
742,28.0
743,1.0
744,16.0
745,2.0
746,1.0
747,29.0
748,14.0
749,2.0
750,2.0
751,11.0
752,20.0
753,11.0
754,1.0
755,34.0
756,24.0
757,1.0
758,33.0
759,2.0
760,15.0
761,0.0
762,1.0
763,3.0
764,36.0
765,36.0
766,16.0
767,1.0
