,R_save
0,0.0
1,0.0
2,0.0
3,0.0009995002498750624
4,0.0009985012491255621
5,0.0009975032468775606
6,0.0009965062421330552
7,0.0009955102338950412
8,0.00099451522116751
9,0.0009935212029554485
10,0.0009925281782648383
11,0.0009915361461026546
12,0.0009905451054768649
13,0.0009895550553964281
14,0.0009885659948712943
15,0.0019870781727874647
16,0.0019850920876572425
17,0.0029826082374946666
18,0.002979627119816011
19,0.003976149231640283
20,0.004971675319364781
21,0.004966706128640778
22,0.004961741904624146
23,0.005956282892225721
24,0.005950329585986614
25,0.005944382230078582
26,0.005938440818554266
27,0.005932505345472253
28,0.005926575804897068
29,0.00592065219089917
30,0.005914734497554943
31,0.005908822718946692
32,0.005902916849162638
33,0.005897016882296908
34,0.005891122812449535
35,0.005885234633726447
36,0.005879352340239464
37,0.005873475926106291
38,0.005867605385450512
39,0.005861740712401586
40,0.005855881901094838
41,0.0058500289456714545
42,0.006843682090153543
43,0.006836841828194369
44,0.006830008403078732
45,0.006823181807973206
46,0.006816362036051194
47,0.007809049330367983
48,0.008800744433486057
49,0.008791948087225701
50,0.008783160532915632
51,0.00877438176176829
52,0.008765611765004904
53,0.008756850533855474
54,0.009747598309433829
55,0.009737855582487869
56,0.009728122593399925
57,0.01071789958231207
58,0.010707187039001413
59,0.010696485202880471
60,0.01168529431312247
61,0.01167361485853664
62,0.011661947077568588
63,0.011650290958550528
64,0.012638146739701402
65,0.013625015158752175
66,0.014610897202571513
67,0.014596293607166643
68,0.014581704608059031
69,0.015566630440534733
70,0.015551071589519707
71,0.01653502853945522
72,0.016518501774298342
73,0.017501491777522433
74,0.018483499281992676
75,0.01846502501984176
76,0.019446069472595542
77,0.020426133371173657
78,0.02140521769564025
79,0.02138382317520483
80,0.02136245003859793
81,0.021341098264446405
82,0.022319268081273543
83,0.022296959967249282
84,0.023274174400065625
85,0.024250412106812187
86,0.024226173813851854
87,0.024201959747071393
88,0.02517727013213179
89,0.026151605694218615
90,0.02712496740766767
91,0.028097356245840917
92,0.02906877318112743
93,0.029039718935069334
94,0.030010193978612494
95,0.029980198782232074
96,0.03094973381593299
97,0.031918299799125464
98,0.031886397450500654
99,0.03185452698828126
100,0.03182268838059683
101,0.03179088159560872
102,0.03175910660151016
103,0.031727363366526144
104,0.031695651858913425
105,0.03166397204696049
106,0.03263182414886258
107,0.03359870888234698
108,0.03356512696442359
109,0.034531078861510626
110,0.03549606528943516
111,0.03546058696330878
112,0.03542514409777824
113,0.03638923690727572
114,0.03635286585589413
115,0.03631653115738749
116,0.036280232775421084
117,0.03624397067369652
118,0.0362077448159517
119,0.036171555165960746
120,0.036135401687534
121,0.03609928434451797
122,0.037062703350670384
123,0.03702565916941034
124,0.03698865201381873
125,0.03695168184688837
126,0.03791424888152417
127,0.038875853830168325
128,0.03883699740455097
129,0.039797680065815785
130,0.039757902274645554
131,0.0407176644912626
132,0.04167646742530432
133,0.04163481178569882
134,0.04259269803079058
135,0.04354962686834101
136,0.04350609900540414
137,0.04446211489845222
138,0.044417675003501245
139,0.044373279526236376
140,0.04532842867213719
141,0.045283122896352945
142,0.045237862403702915
143,0.0451926471489266
144,0.04514747708680873
145,0.04610185242205431
146,0.04605577360903876
147,0.04600974085180833
148,0.04696325435420533
149,0.04691631456974336
150,0.04786892195148275
151,0.04882057720190606
152,0.04877178102279371
153,0.04872303361547458
154,0.04867433493120124
155,0.04962518517115007
156,0.05057508503604648
157,0.05152403547579056
158,0.05247203743933301
159,0.05241959162480094
160,0.0523671982298736
161,0.053314357452032654
162,0.05326106973843742
163,0.0542073355358003
164,0.05415315529038721
165,0.05509852944801801
166,0.05504345845406697
167,0.05498844250358814
168,0.05593298179144063
169,0.056876577012038895
170,0.05681972885910332
171,0.056762937525910814
172,0.05770570320554509
173,0.057648026340771936
174,0.0585899073739146
175,0.05953084699672928
176,0.059471345900280775
177,0.059411904275193037
178,0.059352522062024425
179,0.060292699451267785
180,0.0602324368831006
181,0.06117173479726042
182,0.06211009388292034
183,0.0620480148285646
184,0.061985997822239194
185,0.061924042801927114
186,0.06186214970567332
187,0.06180031847158469
188,0.06173854903782998
189,0.06267634159251481
190,0.06261369657343184
191,0.06355061441793616
192,0.06448659581282079
193,0.06542164169406735
194,0.0653562527468469
195,0.06529092915589552
196,0.06622517110576469
197,0.06615897903069645
198,0.06709235336449886
199,0.0680247947904214
200,0.06795680399103067
201,0.06788888114846092
202,0.0678210261947893
203,0.06775323906216082
204,0.06868501993266342
205,0.06961586948795312
206,0.06954628840900465
207,0.06947677687636196
208,0.06940733482051352
209,0.06933796217201725
210,0.06926865886150049
211,0.06919942481965992
212,0.07012976022713653
213,0.07005966551426583
214,0.06998964086107816
215,0.06991968619754885
216,0.07084930170359828
217,0.07177798805871713
218,0.07270574619159198
219,0.0736325770299812
220,0.07455848150071585
221,0.07548346052970065
222,0.07640751504191484
223,0.07633114571153812
224,0.0762548527123262
225,0.07617863596798605
226,0.07710199565217597
227,0.07702493218825576
228,0.076947945749287
229,0.07687103625828322
230,0.07779370388820997
231,0.077715949061735
232,0.07763827195122852
233,0.07856017272888846
234,0.07948115206649077
235,0.08040121088501502
236,0.08032084985464519
237,0.08124006939502036
238,0.08115886992536017
239,0.0810777516145902
240,0.08099671438159212
241,0.08091575814532866
242,0.08183438307471863
243,0.08275208983826214
244,0.08266937910379112
245,0.08358625128859493
246,0.08350270680954586
247,0.08341924583322448
248,0.08333586827616979
249,0.0832525740550042
250,0.08316936308643348
251,0.08308623528724664
252,0.08300319057431586
253,0.08292022886459641
254,0.08283735007512655
255,0.08275455412302747
256,0.08267184092550321
257,0.08258921039984055
258,0.08350616271328398
259,0.08342269828278595
260,0.08433881752488212
261,0.0852540211055669
262,0.08516880969016903
263,0.08608318369347721
264,0.0869966437797406
265,0.08790919086241952
266,0.08782132560418622
267,0.08773354816730047
268,0.08764585846398483
269,0.08755825640654956
270,0.08847024215726765
271,0.08838181612812496
272,0.08829347848082049
273,0.08920472937689164
274,0.09011506947746446
275,0.09102449969287929
276,0.0909335206826915
277,0.09084263260604714
278,0.09175133562193315
279,0.09165963013905265
280,0.09256751656570028
281,0.09247499530976255
282,0.09238256652884325
283,0.09328973038038864
284,0.09419598752143774
285,0.0951013388582479
286,0.0960057852961707
287,0.09590982748977772
288,0.09681346584311128
289,0.09671670075980981
290,0.09662003239323329
291,0.09652346064671331
292,0.09742648567355318
293,0.09832860812665307
294,0.09823032865826062
295,0.09913164767009644
296,0.09903256556347965
297,0.09893358248945319
298,0.09983419859890902
299,0.1007339145423384
300,0.10163273121945751
301,0.10253064952908325
302,0.10242817011925909
303,0.10232579313763064
304,0.10322301873169598
305,0.10311984729868079
306,0.10401627923541375
307,0.10491181518820195
308,0.10580645605258156
309,0.10670020272319368
310,0.1075930560937852
311,0.1084850170572097
