,R_save
0,1.0
1,0.999000499750125
2,0.9980019985009994
3,0.9970044952541218
4,0.9970074892618638
5,0.9960109800272192
6,0.9950154668038037
7,0.9950204488459788
8,0.9940259256587265
9,0.9940318967475233
10,0.9930383616183405
11,0.9920458195277674
12,0.9910542694832619
13,0.9900637104932737
14,0.9890741415672435
15,0.9880855617156021
16,0.9870979699497695
17,0.9861113652821536
18,0.9851257467261495
19,0.9841411132961384
20,0.9831574640074866
21,0.9821747978765446
22,0.981193113920646
23,0.9812119114079817
24,0.980231189857349
25,0.9792514485381513
26,0.9782726864706469
27,0.9772949026760736
28,0.9763180961766472
29,0.9753422659955612
30,0.9743674111569849
31,0.9733935306860634
32,0.973420123858791
33,0.9724471902017607
34,0.9714752289921638
35,0.9715037395079137
36,0.970532721277521
37,0.9705621738299672
38,0.9695920966947049
39,0.9686229891517817
40,0.9686543504819648
41,0.9676861802166156
42,0.9667189776376884
43,0.9657527417779807
44,0.964787471671256
45,0.9638231663522443
46,0.963859325106515
47,0.9628959474702266
48,0.9619335327301264
49,0.9609720799237994
50,0.9600115880897926
51,0.9590520562676139
52,0.9590929837476063
53,0.9581343700706971
54,0.9571767145283976
55,0.9572195164129269
56,0.957262275516962
57,0.9563054916333869
58,0.9563491643054175
59,0.9553932930767265
60,0.9544383772415673
61,0.9534844158450241
62,0.9525314079331351
63,0.951579352552892
64,0.9516277490021146
65,0.9506765968291989
66,0.9497263953331178
67,0.9497766438135444
68,0.9488273418207273
69,0.9478789886554891
70,0.9469315833694767
71,0.9459851250152843
72,0.9460391128963285
73,0.945093546566597
74,0.9451484255805235
75,0.9452032497428617
76,0.944258518858561
77,0.9433147322330153
78,0.9433713891723127
79,0.94242848923311
80,0.9424860319725071
81,0.9415440169480469
82,0.940602943467839
83,0.9396628105908097
84,0.9387236173768259
85,0.9387848631365692
86,0.9378465474312853
87,0.9379086698226583
88,0.9369712298728106
89,0.9360347268944269
90,0.9350991599510042
91,0.9341645281069753
92,0.9332308304277079
93,0.9322980659795044
94,0.9313662338295998
95,0.931434833296037
96,0.9305038639474154
97,0.9295738251028902
98,0.9296442160822976
99,0.9287150364560285
100,0.928786285794903
101,0.9278579636701705
102,0.9269305694036336
103,0.9260041020678978
104,0.9260780609863707
105,0.9261519459828861
106,0.9262257571313289
107,0.9262994945055105
108,0.9253736579292932
109,0.9254482469768401
110,0.9255227614726154
111,0.9245977012412584
112,0.9246730658577089
113,0.9247483551472064
114,0.9238240689351652
115,0.922900706547424
116,0.9219782670606199
117,0.9210567495523134
118,0.9211356533508618
119,0.9212144782850439
120,0.9202937241838095
121,0.9203733906264044
122,0.9204529774423701
123,0.9205324847112932
124,0.9206119125126813
125,0.9196917606760869
126,0.9197720287813582
127,0.9198522166586383
128,0.9189328241382398
129,0.9180143505508953
130,0.9170967949781308
131,0.9161801565023905
132,0.9152644342070357
133,0.9153491274262191
134,0.9144342357446337
135,0.9145197587473877
136,0.913605696020004
137,0.9126925468985447
138,0.9127798107197356
139,0.9118674870708403
140,0.91095607528966
141,0.9100455744647828
142,0.9101354839355826
143,0.9092258032919689
144,0.9083170318743857
145,0.9074091687740615
146,0.906502213083133
147,0.9065956641445191
148,0.9066890218015461
149,0.9067822861475715
150,0.9058759570259848
151,0.9059700340304565
152,0.9050645167550637
153,0.905159404794289
154,0.9042546977430204
155,0.9043503951965506
156,0.904445997000452
157,0.9035420030004516
158,0.9036384127925551
159,0.9027352259731722
160,0.901832941889241
161,0.9019310598883522
162,0.9020290798184988
163,0.9021270017777007
164,0.9012253256140048
165,0.901324050925735
166,0.9004231773116164
167,0.8995232041209001
168,0.8986241304536129
169,0.8987254556605558
170,0.897827179343054
171,0.8979293011028311
172,0.8970318205420087
173,0.8971347372631061
174,0.8972375511189151
175,0.8963407619623744
176,0.8954448691468199
177,0.8945498717763583
178,0.8946552692058671
179,0.8947605612906189
180,0.8948657481359056
181,0.8939713295970391
182,0.8940773052796007
183,0.8931836747895662
184,0.8932904377333047
185,0.8933970939674544
186,0.8925041433487962
187,0.8926115854843797
188,0.8917194199816467
189,0.8908281461985567
190,0.8899377632438354
191,0.8890482702271
192,0.888159666258857
193,0.8872719504505023
194,0.887384622164195
195,0.8864976810126066
196,0.8866111266087959
197,0.8867244588160835
198,0.8868376777478015
199,0.885951283267294
200,0.8850657747382912
201,0.8851806515251595
202,0.8852954134926505
203,0.8844105605056514
204,0.8835265919294338
205,0.8826435068800291
206,0.881761304474352
207,0.8818794840800748
208,0.8819975455652521
209,0.8821154890479456
210,0.8822333146460986
211,0.8813515222276617
212,0.8814701114108424
213,0.8805890818142299
214,0.8807084330567944
215,0.8808276650077621
216,0.880946777786365
217,0.881065771511716
218,0.8801851460529336
219,0.8803049010293925
220,0.8804245363107225
221,0.8795445517666838
222,0.8786654467674168
223,0.8777872204338162
224,0.8779093721375305
225,0.8780314017505865
226,0.8781533093950137
227,0.8772755949428448
228,0.8773982580163652
229,0.8775207984881129
230,0.8776432164806286
231,0.8777655121163301
232,0.8778876855175132
233,0.8780097368063512
234,0.8771321658550205
235,0.876255472036075
236,0.8763791547226957
237,0.8765027137884401
238,0.8766261493568674
239,0.8757499613015383
240,0.8758741492462644
241,0.8759982130651087
242,0.8761221528821351
243,0.8752464685714084
244,0.8743716595073691
245,0.8744972250650829
246,0.8736231648701153
247,0.873749478548406
248,0.8738756659761437
249,0.8740017272795159
250,0.8741276625845839
251,0.8742534720172829
252,0.8733796554535475
253,0.8725067122696859
254,0.8716346415927547
255,0.870763442550683
256,0.8698931142722716
257,0.8690236558871919
258,0.8681550665259853
259,0.8672873453200622
260,0.8664204914017014
261,0.8655545039040485
262,0.864689381961116
263,0.8648246249576567
264,0.8639602325289134
265,0.8640962043104937
266,0.8632325399383693
267,0.8633692390488757
268,0.863505801528587
269,0.8636422275140657
270,0.8627790168918628
271,0.8619166690488924
272,0.8620546833726817
273,0.8611930595012447
274,0.8613317970729576
275,0.8614703959764329
276,0.8606093561003946
277,0.8607486770838024
278,0.8598883585659776
279,0.8600284001866013
280,0.8601683018355902
281,0.859308563402971
282,0.859449184529005
283,0.8595896651041884
284,0.8587305050191268
285,0.8578722036647849
286,0.8580142604327361
287,0.8571566749650372
288,0.8572994469041026
289,0.8574420761425793
290,0.8575845628230965
291,0.8577269070881408
292,0.8578691090800568
293,0.8570116686911712
294,0.8571545855640436
295,0.8562978593415908
296,0.8554419894172114
297,0.8555864751849104
298,0.8557308165390484
299,0.8548755133740918
300,0.8550205653347375
301,0.8551654723159121
302,0.8553102344625229
303,0.8544553516694569
304,0.8546008235818312
305,0.8547461500949928
306,0.8548913313542681
307,0.8550363675048386
308,0.8541817584418653
309,0.854327503810739
310,0.853473603257205
311,0.8526205561774877
312,0.8527678619684147
313,0.852915020527167
314,0.8530620320009029
315,0.8532088965366341
316,0.8533556142812252
317,0.8535021853813939
318,0.8536486099837113
319,0.8537948882346021
320,0.8539410202803447
321,0.853087506017196
322,0.8522348448417665
323,0.8513830359013949
324,0.850532078344272
325,0.8506814715693153
326,0.8508307154757927
327,0.8499803099630733
328,0.8501302546807513
329,0.8492805492787716
330,0.8494311934074286
331,0.8495816869672412
332,0.8487325298588282
333,0.8478842214831572
334,0.8470367609919197
335,0.84718964778753
336,0.8473423817727499
337,0.8474949631003134
338,0.8466478916729268
339,0.8458016668936434
340,0.8449562879162386
341,0.8451112541452078
342,0.8452660654853925
343,0.844421221841729
344,0.8435772226194984
345,0.8437335672245764
346,0.8428902553133074
347,0.8430472865423796
348,0.8432041608186991
349,0.8433608782991402
350,0.8435174391404204
351,0.8426743432492256
352,0.8428315902824598
353,0.8419891798973699
354,0.8421471117515454
355,0.8413053855029182
356,0.8414640008097619
357,0.8416224575805668
358,0.8407812557239145
359,0.8399408946487282
360,0.8391013735146465
361,0.8392621917320232
362,0.8394228492115514
363,0.8395833461138887
364,0.839743682599532
365,0.8399038588288178
366,0.8390643747120474
367,0.8392252299097366
368,0.8393859243326154
369,0.8395464581413784
370,0.8397068314965594
371,0.8388675443086568
372,0.8380290959885083
373,0.8371914856976652
374,0.8373542128483922
375,0.8375167773532913
376,0.8366796791250521
377,0.8358434175767013
378,0.835007991871977
379,0.8351729014253284
380,0.8353376461515399
381,0.8355022262153565
382,0.8356666417813582
383,0.8358308930139605
384,0.8359949800774148
385,0.8351594028859332
386,0.8343246608540632
387,0.8344902533969377
388,0.8346556804300242
389,0.8348209421187499
390,0.8339865383785013
391,0.8341524688748746
392,0.8343182335236753
393,0.8334843322407931
394,0.8336507646923266
395,0.8328175305447081
396,0.8319851292148284
397,0.8321530601201609
398,0.8323208231785115
399,0.8324884185576434
400,0.831656346175277
401,0.8318246056993397
402,0.8319926970479661
403,0.8311611201393724
404,0.8313298746419817
